Instrucción,Fecha Resultado
11/09/51 el próximo viernes,15/09/51
28/05/42 este miércoles siguiente,04/06/42
19/10/21 el miércoles que viene,20/10/21
07/06/42 este lunes que viene,09/06/42
08/07/36 en un par de días,10/07/36
30/01/17 por favor el lunes que viene,06/02/17
17/06/08 el jueves próximo,19/06/08
11/09/08 en tres días gracias,14/09/08
13/02/59 el próximo viernes,14/02/59
02/09/38 en un par de días,04/09/38
14/10/31 el jueves que viene,16/10/31
31/12/37 por favor en tres días,03/01/38
17/11/36 este miércoles siguiente gracias,19/11/36
24/11/41 por favor el viernes,29/11/41
10/11/04 este lunes,15/11/04
29/05/60 por favor el siguiente martes,01/06/60
16/08/58 este viernes próximo,23/08/58
21/12/57 por favor el martes,25/12/57
29/10/08 el viernes,31/10/08
09/06/05 en un par de días gracias,11/06/05
14/02/36 el próximo martes,19/02/36
10/06/30 por favor el martes siguiente,11/06/30
20/10/09 este jueves próximo,22/10/09
22/04/22 por favor el viernes próximo,29/04/22
10/03/17 este lunes,13/03/17
23/01/17 el próximo martes por favor,24/01/17
11/02/48 en un par de días,13/02/48
31/03/40 el siguiente miércoles por favor,04/04/40
29/07/12 en un par de días gracias,31/07/12
06/11/37 este martes,10/11/37
17/06/16 este martes gracias,21/06/16
27/12/24 el siguiente miércoles gracias,01/01/25
03/07/41 el próximo viernes por favor,05/07/41
30/05/22 este miércoles gracias,01/06/22
06/10/06 el jueves por favor,12/10/06
03/10/39 por favor el próximo viernes,07/10/39
16/05/49 el siguiente jueves,20/05/49
13/10/08 este martes siguiente,14/10/08
15/07/04 por favor en tres días,18/07/04
04/07/58 en un par de días,06/07/58
30/06/48 este viernes,03/07/48
28/04/01 en tres días,01/05/01
14/05/08 el próximo viernes por favor,16/05/08
16/03/21 este viernes próximo,19/03/21
02/12/14 este jueves que viene,04/12/14
17/06/36 por favor el lunes próximo,23/06/36
27/07/43 en un par de días por favor,29/07/43
09/03/43 por favor este jueves,12/03/43
06/03/19 este viernes próximo gracias,08/03/19
24/12/35 por favor el próximo miércoles,26/12/35
05/04/05 el jueves,07/04/05
08/10/14 por favor este jueves,09/10/14
31/12/33 este lunes próximo,02/01/34
11/03/00 este lunes que viene,13/03/00
10/01/35 este lunes gracias,15/01/35
17/10/23 este martes próximo,24/10/23
26/10/40 el viernes gracias,02/11/40
04/08/25 el siguiente lunes,11/08/25
13/12/37 el próximo lunes por favor,14/12/37
10/11/49 este miércoles por favor,17/11/49
19/05/59 el viernes próximo,23/05/59
30/08/43 en tres días,02/09/43
20/11/13 en un par de días por favor,22/11/13
13/01/17 por favor este viernes siguiente,20/01/17
14/08/26 por favor el siguiente martes,18/08/26
13/07/19 en tres días por favor,16/07/19
31/03/05 el siguiente miércoles gracias,06/04/05
17/12/51 pasado mañana gracias,19/12/51
22/08/48 el viernes,28/08/48
20/06/05 el lunes que viene,27/06/05
19/02/28 mañana gracias,20/02/28
16/02/05 el jueves que viene por favor,17/02/05
01/07/04 el jueves siguiente gracias,08/07/04
29/05/52 el siguiente viernes,31/05/52
10/10/42 en tres días por favor,13/10/42
10/02/45 el próximo jueves,16/02/45
25/08/47 en un par de días por favor,27/08/47
14/02/14 por favor el jueves,20/02/14
06/02/05 este jueves,10/02/05
23/07/45 en tres días,26/07/45
10/03/07 por favor el jueves,15/03/07
02/09/16 este viernes que viene,09/09/16
23/02/06 en tres días,26/02/06
20/05/53 el viernes próximo,23/05/53
04/02/06 por favor el martes siguiente,07/02/06
29/07/60 el jueves próximo gracias,05/08/60
06/02/21 el siguiente jueves por favor,11/02/21
22/03/36 pasado mañana,24/03/36
03/10/10 el próximo jueves,07/10/10
09/02/51 pasado mañana,11/02/51
01/02/22 en un par de días,03/02/22
09/12/51 el lunes que viene,11/12/51
03/05/53 este jueves,08/05/53
26/07/03 este viernes próximo,01/08/03
26/07/55 el martes siguiente,27/07/55
10/05/07 por favor este viernes,11/05/07
11/08/37 por favor el siguiente miércoles,12/08/37
22/12/58 el jueves,26/12/58
12/05/52 por favor el próximo miércoles,15/05/52
16/09/50 el siguiente viernes gracias,23/09/50
25/11/46 el siguiente lunes,26/11/46
19/05/28 el próximo lunes,22/05/28
24/05/23 este miércoles por favor,31/05/23
29/04/18 en un par de días,01/05/18
31/01/60 el jueves,05/02/60
09/03/28 en tres días,12/03/28
31/05/21 en tres días,03/06/21
30/10/23 por favor el viernes que viene,03/11/23
05/07/35 el siguiente jueves por favor,12/07/35
28/09/11 el siguiente miércoles por favor,05/10/11
04/04/60 en un par de días,06/04/60
28/11/57 el viernes,30/11/57
30/11/26 mañana gracias,01/12/26
07/01/41 en un par de días,09/01/41
13/05/28 este jueves por favor,18/05/28
05/07/06 este jueves que viene,06/07/06
01/11/00 el viernes por favor,03/11/00
11/02/41 pasado mañana,13/02/41
23/09/55 el siguiente lunes,27/09/55
05/07/50 este jueves siguiente por favor,07/07/50
20/12/08 en un par de días por favor,22/12/08
28/07/06 por favor este lunes,31/07/06
26/03/48 el miércoles por favor,01/04/48
14/02/19 el miércoles que viene,20/02/19
20/05/45 el próximo viernes,26/05/45
17/10/23 este jueves que viene,19/10/23
19/11/11 el jueves que viene por favor,24/11/11
24/04/31 el siguiente viernes,25/04/31
04/03/06 por favor en un par de días,06/03/06
30/11/21 este jueves que viene,02/12/21
24/02/33 el martes,01/03/33
26/07/25 el próximo jueves gracias,31/07/25
25/02/14 el próximo martes,04/03/14
24/04/39 el próximo martes,26/04/39
25/09/48 el miércoles próximo por favor,30/09/48
20/02/27 el lunes,22/02/27
16/11/54 el viernes que viene,20/11/54
02/09/58 el miércoles gracias,04/09/58
15/06/47 en tres días,18/06/47
13/09/00 el miércoles gracias,20/09/00
01/12/59 el siguiente jueves,04/12/59
03/10/49 el próximo lunes,04/10/49
10/11/26 el viernes,13/11/26
07/07/59 este viernes gracias,11/07/59
17/04/09 el próximo miércoles,22/04/09
18/01/12 el próximo martes,24/01/12
23/09/23 en un par de días gracias,25/09/23
10/05/10 el jueves,13/05/10
08/08/09 por favor este viernes próximo,14/08/09
19/08/49 el viernes siguiente,20/08/49
11/12/13 el lunes que viene,16/12/13
07/06/24 el martes próximo gracias,11/06/24
11/04/25 el jueves que viene gracias,17/04/25
06/04/54 en un par de días,08/04/54
23/11/18 el miércoles,28/11/18
05/10/30 mañana gracias,06/10/30
07/04/18 en tres días gracias,10/04/18
24/11/56 en tres días gracias,27/11/56
07/09/23 por favor este jueves que viene,14/09/23
05/05/45 el siguiente lunes por favor,08/05/45
30/10/43 este jueves,05/11/43
12/07/22 el viernes siguiente,15/07/22
22/07/04 el jueves,29/07/04
12/04/08 el lunes que viene,14/04/08
26/11/56 el próximo lunes gracias,27/11/56
31/12/37 en un par de días gracias,02/01/38
27/10/24 en un par de días,29/10/24
15/12/03 el siguiente martes,16/12/03
26/04/00 el viernes próximo por favor,28/04/00
03/12/29 por favor pasado mañana,05/12/29
26/09/11 por favor el próximo jueves,29/09/11
26/02/57 por favor este miércoles siguiente,28/02/57
02/07/23 por favor el siguiente miércoles,05/07/23
30/06/14 el próximo lunes,07/07/14
22/08/39 este lunes,29/08/39
29/06/49 el próximo miércoles,30/06/49
15/05/38 el martes gracias,18/05/38
27/04/50 este martes que viene,03/05/50
12/11/00 pasado mañana,14/11/00
13/01/10 este miércoles próximo,20/01/10
01/10/06 este lunes que viene,02/10/06
16/05/13 el siguiente viernes,17/05/13
11/12/48 por favor en tres días,14/12/48
26/03/03 el próximo martes,01/04/03
14/02/33 por favor el siguiente viernes,18/02/33
04/04/52 el siguiente viernes por favor,05/04/52
27/07/49 en tres días,30/07/49
14/04/13 este martes,16/04/13
23/07/38 el lunes,26/07/38
08/06/11 por favor el siguiente martes,14/06/11
02/10/03 el jueves siguiente por favor,09/10/03
28/08/27 por favor en un par de días,30/08/27
17/09/32 el siguiente viernes gracias,24/09/32
31/07/03 el jueves,07/08/03
06/02/32 el siguiente viernes,13/02/32
05/11/18 por favor el lunes próximo,12/11/18
21/05/22 el viernes siguiente,27/05/22
01/11/59 el martes que viene por favor,04/11/59
22/03/09 el siguiente martes,24/03/09
24/09/31 el próximo viernes,26/09/31
25/03/50 el siguiente viernes,01/04/50
16/06/36 este jueves próximo,19/06/36
06/09/55 el martes que viene gracias,07/09/55
12/11/13 este lunes,18/11/13
28/03/21 el martes siguiente,30/03/21
30/07/14 el lunes siguiente,04/08/14
19/11/15 este miércoles que viene,25/11/15
27/12/36 el martes que viene por favor,30/12/36
23/03/02 en tres días por favor,26/03/02
03/02/16 el miércoles siguiente gracias,10/02/16
20/10/29 por favor el lunes próximo,22/10/29
08/12/36 el siguiente miércoles,10/12/36
06/02/60 este jueves siguiente,12/02/60
06/04/22 el jueves próximo,07/04/22
08/12/23 el miércoles gracias,13/12/23
13/04/14 por favor el próximo miércoles,16/04/14
12/09/09 el martes que viene por favor,15/09/09
27/04/34 por favor el próximo lunes,01/05/34
22/06/03 este martes próximo,24/06/03
24/03/42 el próximo viernes gracias,28/03/42
15/12/19 el próximo miércoles,18/12/19
26/11/17 este martes,28/11/17
18/04/41 este lunes que viene,22/04/41
15/05/31 el jueves,22/05/31
19/05/27 el próximo viernes,21/05/27
01/06/20 por favor el siguiente martes,02/06/20
31/12/19 en un par de días,02/01/20
14/02/02 este miércoles siguiente,20/02/02
19/03/59 el próximo jueves,20/03/59
29/04/17 el siguiente jueves,04/05/17
30/09/35 el viernes,05/10/35
13/06/29 el próximo miércoles gracias,20/06/29
29/12/24 este viernes,03/01/25
24/03/06 por favor el siguiente lunes,27/03/06
15/01/25 en tres días por favor,18/01/25
03/07/31 por favor en tres días,06/07/31
20/07/57 mañana gracias,21/07/57
13/09/45 por favor el siguiente martes,19/09/45
09/11/35 por favor el lunes próximo,12/11/35
17/12/60 el siguiente jueves,23/12/60
08/02/48 el jueves que viene,13/02/48
16/09/29 por favor el miércoles,19/09/29
23/06/02 pasado mañana,25/06/02
07/05/10 este miércoles por favor,12/05/10
08/06/23 por favor el próximo viernes,09/06/23
08/01/16 el próximo miércoles,13/01/16
01/02/52 por favor el siguiente martes,06/02/52
25/10/23 en tres días,28/10/23
07/06/03 el siguiente jueves,12/06/03
22/09/09 pasado mañana gracias,24/09/09
09/07/53 pasado mañana,11/07/53
26/12/38 por favor el viernes,31/12/38
05/01/31 este jueves,09/01/31
21/02/28 el próximo martes,22/02/28
24/02/39 por favor este martes siguiente,01/03/39
21/05/54 el siguiente viernes por favor,22/05/54
18/11/45 este lunes siguiente,20/11/45
17/05/10 el siguiente viernes,21/05/10
23/07/34 en tres días,26/07/34
23/09/51 el lunes gracias,25/09/51
19/01/17 el próximo lunes,23/01/17
07/11/22 en tres días,10/11/22
25/12/03 el próximo miércoles gracias,31/12/03
13/02/39 el miércoles próximo por favor,16/02/39
25/02/00 por favor el viernes,03/03/00
23/08/46 en un par de días,25/08/46
21/04/48 en un par de días gracias,23/04/48
01/03/60 este martes,02/03/60
04/09/17 en un par de días,06/09/17
03/09/32 pasado mañana por favor,05/09/32
10/09/38 el martes,14/09/38
11/04/06 el jueves siguiente gracias,13/04/06
04/08/59 el jueves que viene,07/08/59
15/08/29 el siguiente martes gracias,21/08/29
27/11/55 este viernes próximo,03/12/55
29/02/28 el próximo jueves,02/03/28
07/07/59 este martes,08/07/59
07/03/11 el próximo martes por favor,08/03/11
10/12/26 por favor el siguiente viernes,11/12/26
30/06/45 pasado mañana,02/07/45
30/09/27 el próximo jueves gracias,07/10/27
30/10/59 en tres días,02/11/59
21/08/36 este lunes,25/08/36
06/04/29 este viernes gracias,13/04/29
06/02/36 por favor este jueves próximo,07/02/36
11/07/26 el lunes,13/07/26
26/09/49 por favor en tres días,29/09/49
02/06/11 por favor este martes,07/06/11
18/03/17 el próximo martes,21/03/17
20/09/37 el siguiente jueves gracias,24/09/37
27/08/59 el jueves,28/08/59
05/01/34 en tres días,08/01/34
06/10/60 el jueves siguiente,07/10/60
12/08/15 el jueves que viene gracias,13/08/15
22/03/55 por favor este lunes,29/03/55
21/01/51 en un par de días gracias,23/01/51
31/12/26 el próximo lunes,04/01/27
06/06/36 mañana gracias,07/06/36
26/02/49 el miércoles que viene,03/03/49
14/01/00 este martes próximo por favor,18/01/00
06/04/27 en un par de días por favor,08/04/27
27/09/25 el siguiente jueves,02/10/25
09/11/18 por favor el próximo martes,13/11/18
26/07/38 el martes que viene por favor,27/07/38
12/01/52 el próximo miércoles,17/01/52
05/06/54 este viernes,12/06/54
26/09/58 este lunes próximo,30/09/58
28/11/28 el siguiente martes gracias,05/12/28
18/09/41 por favor pasado mañana,20/09/41
20/08/39 en tres días gracias,23/08/39
01/09/39 este jueves próximo,08/09/39
11/08/60 el viernes,13/08/60
04/03/19 el siguiente lunes gracias,11/03/19
10/11/45 este jueves próximo,16/11/45
14/06/42 el jueves gracias,19/06/42
23/03/15 por favor en un par de días,25/03/15
09/02/59 mañana,10/02/59
10/08/07 este viernes por favor,17/08/07
17/06/25 mañana,18/06/25
30/03/46 en un par de días,01/04/46
23/07/59 este jueves próximo,24/07/59
13/10/56 el lunes,16/10/56
22/07/55 en un par de días,24/07/55
26/01/30 el viernes,01/02/30
18/05/08 este lunes que viene por favor,19/05/08
26/01/21 por favor en un par de días,28/01/21
11/05/60 mañana gracias,12/05/60
06/11/27 en un par de días,08/11/27
26/02/20 el miércoles próximo por favor,04/03/20
12/11/17 en un par de días,14/11/17
21/03/13 el lunes por favor,25/03/13
11/03/02 este viernes siguiente,15/03/02
23/02/04 el lunes que viene,01/03/04
19/12/21 el viernes,24/12/21
17/08/42 en tres días,20/08/42
03/11/54 el martes,10/11/54
14/07/06 por favor en un par de días,16/07/06
09/11/40 por favor este viernes próximo,16/11/40
07/03/37 en tres días por favor,10/03/37
01/07/56 en un par de días,03/07/56
24/08/51 el martes próximo,29/08/51
11/06/17 por favor el miércoles próximo,14/06/17
13/06/34 el próximo viernes,16/06/34
08/05/44 en un par de días por favor,10/05/44
08/11/35 por favor en tres días,11/11/35
20/11/21 este jueves gracias,25/11/21
28/03/13 este miércoles que viene,03/04/13
09/11/58 el martes,12/11/58
30/06/00 este martes gracias,04/07/00
24/07/09 este martes por favor,28/07/09
21/02/38 el siguiente lunes gracias,22/02/38
19/08/19 el siguiente miércoles por favor,21/08/19
12/10/15 en tres días gracias,15/10/15
20/06/46 en tres días por favor,23/06/46
04/09/41 pasado mañana,06/09/41
03/07/04 el lunes,05/07/04
03/01/50 el lunes próximo,10/01/50
10/05/22 el próximo viernes por favor,13/05/22
20/11/10 este miércoles,24/11/10
13/12/40 este miércoles,19/12/40
18/12/11 en tres días,21/12/11
07/09/41 este martes siguiente,10/09/41
22/11/59 el lunes,24/11/59
26/08/47 por favor el próximo lunes,02/09/47
21/02/50 por favor el siguiente lunes,28/02/50
02/06/53 en tres días,05/06/53
19/06/28 mañana,20/06/28
15/09/39 el siguiente viernes,16/09/39
18/12/54 este martes próximo,22/12/54
14/04/45 en tres días,17/04/45
14/04/38 en un par de días,16/04/38
24/02/49 mañana,25/02/49
02/01/40 el viernes próximo,06/01/40
12/04/14 el próximo lunes,14/04/14
02/08/42 en tres días,05/08/42
17/05/40 el jueves próximo,24/05/40
03/04/23 el lunes,10/04/23
07/03/22 este jueves,10/03/22
16/03/57 el lunes que viene,19/03/57
16/11/24 el viernes que viene,22/11/24
07/10/46 el viernes,12/10/46
23/06/43 este jueves siguiente,25/06/43
24/03/56 este lunes,27/03/56
18/06/21 este viernes próximo gracias,25/06/21
20/08/24 el próximo lunes,26/08/24
18/06/39 mañana por favor,19/06/39
13/12/06 por favor el jueves,14/12/06
19/08/25 por favor el próximo martes,26/08/25
13/01/21 por favor el viernes próximo,15/01/21
17/05/24 el siguiente miércoles,22/05/24
17/02/30 el siguiente viernes gracias,22/02/30
06/09/28 este jueves,07/09/28
16/06/48 el lunes que viene,22/06/48
25/03/07 este miércoles,28/03/07
31/05/12 este jueves,07/06/12
13/07/13 el miércoles que viene gracias,17/07/13
29/09/20 el próximo jueves,01/10/20
13/05/34 este martes siguiente,16/05/34
16/09/13 el siguiente miércoles,18/09/13
12/03/19 este lunes,18/03/19
05/10/05 el jueves siguiente por favor,06/10/05
21/03/37 el viernes siguiente,27/03/37
26/07/36 en tres días,29/07/36
07/09/29 este miércoles gracias,12/09/29
05/09/48 el próximo miércoles por favor,09/09/48
19/10/41 el lunes gracias,21/10/41
20/04/37 este martes que viene,21/04/37
02/08/05 en un par de días por favor,04/08/05
22/07/18 el siguiente miércoles,25/07/18
10/09/37 en tres días,13/09/37
10/12/34 en tres días,13/12/34
26/05/52 el próximo jueves,30/05/52
02/10/01 el lunes que viene por favor,08/10/01
25/08/51 este miércoles que viene,30/08/51
15/02/34 en un par de días,17/02/34
16/10/42 este jueves,23/10/42
12/07/00 el viernes próximo,14/07/00
23/07/31 el siguiente jueves gracias,24/07/31
15/10/26 este jueves,22/10/26
27/12/34 este martes próximo,02/01/35
04/08/37 el miércoles,05/08/37
14/04/48 el martes,21/04/48
29/12/48 este lunes,04/01/49
13/02/54 el jueves,19/02/54
14/10/19 este viernes por favor,18/10/19
20/10/43 el próximo jueves por favor,22/10/43
08/09/19 por favor el siguiente martes,10/09/19
26/06/24 el jueves próximo por favor,27/06/24
06/02/39 el próximo miércoles por favor,09/02/39
27/07/43 este martes próximo,28/07/43
09/08/02 por favor este lunes,12/08/02
20/11/34 el siguiente viernes,24/11/34
26/02/30 el próximo martes,05/03/30
03/01/60 en un par de días,05/01/60
05/12/60 este miércoles próximo por favor,08/12/60
09/04/36 en un par de días gracias,11/04/36
22/10/14 el viernes,24/10/14
06/12/41 pasado mañana,08/12/41
14/06/11 este viernes por favor,17/06/11
29/10/55 pasado mañana,31/10/55
02/12/47 el próximo martes,03/12/47
02/06/02 por favor el miércoles próximo,05/06/02
08/05/35 el próximo jueves por favor,10/05/35
06/02/53 este miércoles que viene,12/02/53
19/08/50 el miércoles próximo gracias,24/08/50
25/06/59 el siguiente martes,01/07/59
07/06/02 por favor el siguiente jueves,13/06/02
13/07/07 este lunes siguiente,16/07/07
30/08/57 en tres días,02/09/57
14/06/38 pasado mañana,16/06/38
04/03/12 mañana,05/03/12
02/06/41 por favor el siguiente miércoles,05/06/41
20/04/16 el siguiente martes,26/04/16
05/07/04 mañana gracias,06/07/04
04/05/23 en tres días,07/05/23
04/01/34 el próximo jueves por favor,05/01/34
14/05/29 el martes siguiente gracias,15/05/29
