wav,txt
fechas1/train/fechas1_000056.wav,el martes (2) gracias
fechas1/train/fechas1_000057.wav,el siguiente jueves (4)
fechas1/train/fechas1_000058.wav,mañana (+1) gracias
fechas1/train/fechas1_000059.wav,el martes (2)
fechas1/train/fechas1_000060.wav,este viernes (5) gracias
fechas1/train/fechas1_000061.wav,el lunes (1) gracias
fechas1/train/fechas1_000062.wav,pasado mañana (+2)
fechas1/train/fechas1_000063.wav,por favor el siguiente miércoles (3)
fechas1/train/fechas1_000064.wav,el siguiente martes (2)
fechas1/train/fechas1_000065.wav,el jueves (4) que viene
fechas1/train/fechas1_000066.wav,este lunes (1) gracias
fechas1/train/fechas1_000067.wav,este martes (2) siguiente
fechas1/train/fechas1_000068.wav,el próximo viernes (5)
fechas1/train/fechas1_000069.wav,el próximo martes (2) gracias
fechas1/train/fechas1_000070.wav,el próximo miércoles (3)
fechas1/train/fechas1_000071.wav,el próximo viernes (5) por favor
fechas1/train/fechas1_000072.wav,por favor este miércoles (3)
fechas1/train/fechas1_000073.wav,el siguiente miércoles (3) gracias
fechas1/train/fechas1_000074.wav,el miércoles (3)
fechas1/train/fechas1_000075.wav,este martes (2) siguiente
fechas1/train/fechas1_000076.wav,por favor en tres días (+3)
fechas1/train/fechas1_000077.wav,el viernes (5) que viene
fechas1/train/fechas1_000078.wav,el miércoles (3) gracias
fechas1/train/fechas1_000079.wav,el viernes (5)
fechas1/train/fechas1_000080.wav,el martes (2)
fechas1/train/fechas1_000081.wav,este viernes (5) que viene por favor
fechas1/train/fechas1_000082.wav,el próximo viernes (5)
fechas1/train/fechas1_000083.wav,pasado mañana (+2) por favor
fechas1/train/fechas1_000084.wav,este martes (2) siguiente gracias
fechas1/train/fechas1_000085.wav,este lunes (1) siguiente
fechas1/train/fechas1_000086.wav,el martes (2) gracias
fechas1/train/fechas1_000087.wav,en un par de días (+2) gracias
fechas1/train/fechas1_000088.wav,este martes (2)
fechas1/train/fechas1_000089.wav,por favor en un par de días (+2)
fechas1/train/fechas1_000090.wav,el jueves (4) siguiente
fechas1/train/fechas1_000091.wav,el lunes (1) siguiente por favor
fechas1/train/fechas1_000092.wav,por favor este viernes (5)
fechas1/train/fechas1_000093.wav,por favor el próximo martes (2)
fechas1/train/fechas1_000094.wav,por favor pasado mañana (+2)
fechas1/train/fechas1_000095.wav,este lunes (1)
fechas1/train/fechas1_000096.wav,este lunes (1)
fechas1/train/fechas1_000097.wav,el siguiente martes (2) gracias
fechas1/train/fechas1_000098.wav,este martes (2) que viene
fechas1/train/fechas1_000099.wav,el martes (2) que viene
fechas1/train/fechas1_000100.wav,este viernes (5)
fechas1/train/fechas1_000101.wav,el viernes (5) que viene
fechas1/train/fechas1_000102.wav,el viernes (5)
fechas1/train/fechas1_000103.wav,en un par de días (+2) por favor
fechas1/train/fechas1_000104.wav,este viernes (5) que viene
fechas1/train/fechas1_000105.wav,el miércoles (3) siguiente por favor
fechas1/train/fechas1_000106.wav,por favor pasado mañana (+2)
fechas1/train/fechas1_000107.wav,mañana (+1)
fechas1/train/fechas1_000108.wav,el jueves (4) gracias
fechas1/train/fechas1_000109.wav,este lunes (1) gracias
fechas1/train/fechas1_000110.wav,el próximo viernes (5) gracias
fechas1/train/fechas1_000111.wav,el miércoles (3)
fechas1/train/fechas1_000112.wav,pasado mañana (+2)
fechas1/train/fechas1_000113.wav,el viernes (5) por favor
fechas1/train/fechas1_000114.wav,el lunes (1) próximo
fechas1/train/fechas1_000115.wav,por favor este viernes (5)
fechas1/train/fechas1_000116.wav,este martes (2)
fechas1/train/fechas1_000117.wav,en un par de días (+2)
fechas1/train/fechas1_000118.wav,el martes (2) por favor
fechas1/train/fechas1_000119.wav,el siguiente miércoles (3)
fechas1/train/fechas1_000120.wav,el jueves (4) que viene
fechas1/train/fechas1_000121.wav,el próximo miércoles (3)
fechas1/train/fechas1_000122.wav,el miércoles (3) gracias
fechas1/train/fechas1_000123.wav,en un par de días (+2)
fechas1/train/fechas1_000124.wav,este viernes (5) siguiente gracias
fechas1/train/fechas1_000125.wav,por favor este miércoles (3)
fechas1/train/fechas1_000126.wav,por favor el próximo miércoles (3)
fechas1/train/fechas1_000127.wav,en tres días (+3) por favor
fechas1/train/fechas1_000128.wav,el miércoles (3)
fechas1/train/fechas1_000129.wav,el próximo miércoles (3)
fechas1/train/fechas1_000130.wav,este viernes (5) que viene
fechas1/train/fechas1_000131.wav,el siguiente jueves (4) por favor
fechas1/train/fechas1_000132.wav,el miércoles (3)
fechas1/train/fechas1_000133.wav,el martes (2) siguiente
fechas1/train/fechas1_000134.wav,el viernes (5) gracias
fechas1/train/fechas1_000135.wav,este jueves (4)
fechas1/train/fechas1_000136.wav,el siguiente jueves (4)
fechas1/train/fechas1_000137.wav,el siguiente miércoles (3) gracias
fechas1/train/fechas1_000138.wav,en tres días (+3) por favor
fechas1/train/fechas1_000139.wav,este lunes (1)
fechas1/train/fechas1_000140.wav,el próximo lunes (1) por favor
fechas1/train/fechas1_000141.wav,en tres días (+3) por favor
fechas1/train/fechas1_000142.wav,este lunes (1) siguiente
fechas1/train/fechas1_000143.wav,por favor el miércoles (3)
fechas1/train/fechas1_000144.wav,en un par de días (+2) por favor
fechas1/train/fechas1_000145.wav,el viernes (5) siguiente gracias
fechas1/train/fechas1_000146.wav,el jueves (4)
fechas1/train/fechas1_000147.wav,el viernes (5)
fechas1/train/fechas1_000148.wav,este jueves (4)
fechas1/train/fechas1_000149.wav,este jueves (4) que viene gracias
fechas1/train/fechas1_000150.wav,este martes (2)
fechas1/train/fechas1_000151.wav,este jueves (4)
fechas1/train/fechas1_000152.wav,en tres días (+3)
fechas1/train/fechas1_000153.wav,este miércoles (3) gracias
fechas1/train/fechas1_000154.wav,por favor en un par de días (+2)
fechas1/train/fechas1_000155.wav,el siguiente miércoles (3)
fechas1/train/fechas1_000156.wav,este miércoles (3) gracias
fechas1/train/fechas1_000157.wav,el lunes (1)
fechas1/train/fechas1_000158.wav,en un par de días (+2)
fechas1/train/fechas1_000159.wav,el siguiente martes (2)
fechas1/train/fechas1_000160.wav,este lunes (1) por favor
fechas1/train/fechas1_000161.wav,en tres días (+3)
fechas1/train/fechas1_000162.wav,el próximo lunes (1)
fechas1/train/fechas1_000163.wav,en tres días (+3)
fechas1/train/fechas1_000164.wav,en tres días (+3)
fechas1/train/fechas1_000165.wav,el lunes (1)
fechas1/train/fechas1_000166.wav,este viernes (5)
fechas1/train/fechas1_000167.wav,por favor este viernes (5) próximo
fechas1/train/fechas1_000168.wav,por favor este martes (2) próximo
fechas1/train/fechas1_000169.wav,en un par de días (+2)
fechas1/train/fechas1_000170.wav,el miércoles (3)
fechas1/train/fechas1_000171.wav,por favor mañana (+1)
fechas1/train/fechas1_000172.wav,el jueves (4) siguiente
fechas1/train/fechas1_000173.wav,este martes (2)
fechas1/train/fechas1_000174.wav,este martes (2) siguiente por favor
fechas1/train/fechas1_000175.wav,este viernes (5) gracias
fechas1/train/fechas1_000176.wav,el martes (2) siguiente gracias
fechas1/train/fechas1_000177.wav,el miércoles (3)
fechas1/train/fechas1_000178.wav,este martes (2) que viene
fechas1/train/fechas1_000179.wav,por favor en un par de días (+2)
fechas1/train/fechas1_000180.wav,el jueves (4) próximo por favor
fechas1/train/fechas1_000181.wav,el siguiente jueves (4) por favor
fechas1/train/fechas1_000182.wav,el lunes (1) próximo
fechas1/train/fechas1_000183.wav,en un par de días (+2)
fechas1/train/fechas1_000184.wav,pasado mañana (+2)
fechas1/train/fechas1_000185.wav,pasado mañana (+2)
fechas1/train/fechas1_000186.wav,el lunes (1)
fechas1/train/fechas1_000187.wav,mañana (+1)
fechas1/train/fechas1_000188.wav,el siguiente miércoles (3)
fechas1/train/fechas1_000189.wav,por favor mañana (+1)
fechas1/train/fechas1_000190.wav,el siguiente lunes (1)
fechas1/train/fechas1_000191.wav,el próximo viernes (5)
fechas1/train/fechas1_000192.wav,el viernes (5) próximo
fechas1/train/fechas1_000193.wav,el viernes (5)
fechas1/train/fechas1_000194.wav,el próximo miércoles (3) gracias
fechas1/train/fechas1_000195.wav,este viernes (5)
fechas1/train/fechas1_000196.wav,el viernes (5)
fechas1/train/fechas1_000197.wav,el próximo miércoles (3)
fechas1/train/fechas1_000198.wav,este jueves (4) gracias
fechas1/train/fechas1_000199.wav,en un par de días (+2) por favor
fechas1/train/fechas1_000200.wav,en un par de días (+2)
fechas1/train/fechas1_000201.wav,este miércoles (3) por favor
fechas1/train/fechas1_000202.wav,por favor el miércoles (3)
fechas1/train/fechas1_000203.wav,mañana (+1)
fechas1/train/fechas1_000204.wav,el siguiente martes (2) por favor
fechas1/train/fechas1_000205.wav,este lunes (1) que viene
fechas1/train/fechas1_000206.wav,el siguiente martes (2)
fechas1/train/fechas1_000207.wav,pasado mañana (+2)
fechas1/train/fechas1_000208.wav,este martes (2)
fechas1/train/fechas1_000209.wav,pasado mañana (+2)
fechas1/train/fechas1_000210.wav,este jueves (4)
fechas1/train/fechas1_000211.wav,el jueves (4)
fechas1/train/fechas1_000212.wav,por favor el siguiente martes (2)
fechas1/train/fechas1_000213.wav,el siguiente lunes (1)
fechas1/train/fechas1_000214.wav,mañana (+1) por favor
fechas1/train/fechas1_000215.wav,este lunes (1)
fechas1/train/fechas1_000216.wav,el martes (2) próximo
fechas1/train/fechas1_000217.wav,el siguiente jueves (4)
fechas1/train/fechas1_000218.wav,el miércoles (3)
fechas1/train/fechas1_000219.wav,el próximo viernes (5) por favor
fechas1/train/fechas1_000220.wav,pasado mañana (+2)
fechas1/train/fechas1_000221.wav,el próximo lunes (1)
fechas1/train/fechas1_000222.wav,el siguiente jueves (4)
fechas1/train/fechas1_000223.wav,el lunes (1)
fechas1/train/fechas1_000224.wav,el siguiente jueves (4) gracias
fechas1/train/fechas1_000225.wav,el siguiente miércoles (3)
fechas1/train/fechas1_000226.wav,el jueves (4) que viene
fechas1/train/fechas1_000227.wav,el siguiente martes (2)
fechas1/train/fechas1_000228.wav,el martes (2) que viene
fechas1/train/fechas1_000229.wav,este jueves (4) que viene por favor
fechas1/train/fechas1_000230.wav,el lunes (1)
fechas1/train/fechas1_000231.wav,el siguiente martes (2)
fechas1/train/fechas1_000232.wav,el siguiente viernes (5)
fechas1/train/fechas1_000233.wav,por favor el siguiente martes (2)
fechas1/train/fechas1_000234.wav,este viernes (5) siguiente gracias
fechas1/train/fechas1_000235.wav,en un par de días (+2)
fechas1/train/fechas1_000236.wav,el próximo viernes (5)
fechas1/train/fechas1_000237.wav,este miércoles (3) siguiente
fechas1/train/fechas1_000238.wav,el miércoles (3) que viene
fechas1/train/fechas1_000239.wav,este lunes (1) que viene
fechas1/train/fechas1_000240.wav,en un par de días (+2)
fechas1/train/fechas1_000241.wav,por favor el lunes (1) que viene
fechas1/train/fechas1_000242.wav,el jueves (4) próximo
fechas1/train/fechas1_000243.wav,en tres días (+3) gracias
fechas1/train/fechas1_000244.wav,el próximo viernes (5)
fechas1/train/fechas1_000245.wav,en un par de días (+2)
fechas1/train/fechas1_000246.wav,el jueves (4) que viene
fechas1/train/fechas1_000247.wav,por favor en tres días (+3)
fechas1/train/fechas1_000248.wav,este miércoles (3) siguiente gracias
fechas1/train/fechas1_000249.wav,por favor el viernes (5)
fechas1/train/fechas1_000250.wav,este lunes (1)
fechas1/train/fechas1_000251.wav,por favor el siguiente martes (2)
fechas1/train/fechas1_000252.wav,este viernes (5) próximo
fechas1/train/fechas1_000253.wav,por favor el martes (2)
fechas1/train/fechas1_000254.wav,el viernes (5)
fechas1/train/fechas1_000255.wav,en un par de días (+2) gracias
fechas1/train/fechas1_000256.wav,el próximo martes (2)
fechas1/train/fechas1_000257.wav,por favor el martes (2) siguiente
fechas1/train/fechas1_000258.wav,este jueves (4) próximo
fechas1/train/fechas1_000259.wav,por favor el viernes (5) próximo
fechas1/train/fechas1_000260.wav,este lunes (1)
fechas1/train/fechas1_000261.wav,el próximo martes (2) por favor
fechas1/train/fechas1_000262.wav,en un par de días (+2)
fechas1/train/fechas1_000263.wav,el siguiente miércoles (3) por favor
fechas1/train/fechas1_000264.wav,en un par de días (+2) gracias
fechas1/train/fechas1_000265.wav,este martes (2)
fechas1/train/fechas1_000266.wav,este martes (2) gracias
fechas1/train/fechas1_000267.wav,el siguiente miércoles (3) gracias
fechas1/train/fechas1_000268.wav,el próximo viernes (5) por favor
fechas1/train/fechas1_000269.wav,este miércoles (3) gracias
fechas1/train/fechas1_000270.wav,el jueves (4) por favor
fechas1/train/fechas1_000271.wav,por favor el próximo viernes (5)
fechas1/train/fechas1_000272.wav,el siguiente jueves (4)
fechas1/train/fechas1_000273.wav,este martes (2) siguiente
fechas1/train/fechas1_000274.wav,por favor en tres días (+3)
fechas1/train/fechas1_000275.wav,en un par de días (+2)
fechas1/train/fechas1_000276.wav,este viernes (5)
fechas1/train/fechas1_000277.wav,en tres días (+3)
fechas1/train/fechas1_000278.wav,el próximo viernes (5) por favor
fechas1/train/fechas1_000279.wav,este viernes (5) próximo
fechas1/train/fechas1_000280.wav,este jueves (4) que viene
fechas1/train/fechas1_000281.wav,por favor el lunes (1) próximo
fechas1/train/fechas1_000282.wav,en un par de días (+2) por favor
fechas1/train/fechas1_000283.wav,por favor este jueves (4)
fechas1/train/fechas1_000284.wav,este viernes (5) próximo gracias
fechas1/train/fechas1_000285.wav,por favor el próximo miércoles (3)
fechas1/train/fechas1_000286.wav,el jueves (4)
fechas1/train/fechas1_000287.wav,por favor este jueves (4)
fechas1/train/fechas1_000288.wav,este lunes (1) próximo
fechas1/train/fechas1_000289.wav,este lunes (1) que viene
fechas1/train/fechas1_000290.wav,este lunes (1) gracias
fechas1/train/fechas1_000291.wav,este martes (2) próximo
fechas1/train/fechas1_000292.wav,el viernes (5) gracias
fechas1/train/fechas1_000293.wav,el siguiente lunes (1)
fechas1/train/fechas1_000294.wav,el próximo lunes (1) por favor
fechas1/train/fechas1_000295.wav,este miércoles (3) por favor
fechas1/train/fechas1_000296.wav,el viernes (5) próximo
fechas1/train/fechas1_000297.wav,en tres días (+3)
fechas1/train/fechas1_000298.wav,en un par de días (+2) por favor
fechas1/train/fechas1_000299.wav,por favor este viernes (5) siguiente
fechas1/train/fechas1_000300.wav,por favor el siguiente martes (2)
fechas1/train/fechas1_000301.wav,en tres días (+3) por favor
fechas1/train/fechas1_000302.wav,el siguiente miércoles (3) gracias
fechas1/train/fechas1_000303.wav,pasado mañana (+2) gracias
fechas1/train/fechas1_000304.wav,el viernes (5)
fechas1/train/fechas1_000305.wav,el lunes (1) que viene
fechas1/train/fechas1_000306.wav,mañana (+1) gracias
fechas1/train/fechas1_000307.wav,el jueves (4) que viene por favor
fechas1/train/fechas1_000308.wav,el jueves (4) siguiente gracias
fechas1/train/fechas1_000309.wav,el siguiente viernes (5)
fechas1/train/fechas1_000310.wav,en tres días (+3) por favor
fechas1/train/fechas1_000311.wav,el próximo jueves (4)
fechas1/train/fechas1_000312.wav,en un par de días (+2) por favor
fechas1/train/fechas1_000313.wav,por favor el jueves (4)
fechas1/train/fechas1_000314.wav,este jueves (4)
fechas1/train/fechas1_000315.wav,en tres días (+3)
fechas1/train/fechas1_000316.wav,por favor el jueves (4)
fechas1/train/fechas1_000317.wav,este viernes (5) que viene
fechas1/train/fechas1_000318.wav,en tres días (+3)
fechas1/train/fechas1_000319.wav,el viernes (5) próximo
fechas1/train/fechas1_000320.wav,por favor el martes (2) siguiente
fechas1/train/fechas1_000321.wav,el jueves (4) próximo gracias
fechas1/train/fechas1_000322.wav,el siguiente jueves (4) por favor
fechas1/train/fechas1_000323.wav,pasado mañana (+2)
fechas1/train/fechas1_000324.wav,el próximo jueves (4)
fechas1/train/fechas1_000325.wav,pasado mañana (+2)
fechas1/train/fechas1_000326.wav,en un par de días (+2)
fechas1/train/fechas1_000327.wav,el lunes (1) que viene
fechas1/train/fechas1_000328.wav,este jueves (4)
fechas1/train/fechas1_000329.wav,este viernes (5) próximo
fechas1/train/fechas1_000330.wav,el martes (2) siguiente
fechas1/train/fechas1_000331.wav,por favor este viernes (5)
fechas1/train/fechas1_000332.wav,por favor el siguiente miércoles (3)
fechas1/train/fechas1_000333.wav,el jueves (4)
fechas1/train/fechas1_000334.wav,por favor el próximo miércoles (3)
fechas1/train/fechas1_000335.wav,el siguiente viernes (5) gracias
fechas1/train/fechas1_000336.wav,el siguiente lunes (1)
fechas1/train/fechas1_000337.wav,el próximo lunes (1)
fechas1/train/fechas1_000338.wav,este miércoles (3) por favor
fechas1/train/fechas1_000339.wav,en un par de días (+2)
fechas1/train/fechas1_000340.wav,el jueves (4)
fechas1/train/fechas1_000341.wav,en tres días (+3)
fechas1/train/fechas1_000342.wav,en tres días (+3)
fechas1/train/fechas1_000343.wav,por favor el viernes (5) que viene
fechas1/train/fechas1_000344.wav,el siguiente jueves (4) por favor
fechas1/train/fechas1_000345.wav,el siguiente miércoles (3) por favor
fechas1/train/fechas1_000346.wav,en un par de días (+2)
fechas1/train/fechas1_000347.wav,el viernes (5)
fechas1/train/fechas1_000348.wav,mañana (+1) gracias
fechas1/train/fechas1_000349.wav,en un par de días (+2)
fechas1/train/fechas1_000350.wav,este jueves (4) por favor
fechas1/train/fechas1_000351.wav,este jueves (4) que viene
fechas1/train/fechas1_000352.wav,el viernes (5) por favor
fechas1/train/fechas1_000353.wav,pasado mañana (+2)
fechas1/train/fechas1_000354.wav,el siguiente lunes (1)
fechas1/train/fechas1_000355.wav,este jueves (4) siguiente por favor
fechas1/train/fechas1_000356.wav,en un par de días (+2) por favor
fechas1/train/fechas1_000357.wav,por favor este lunes (1)
fechas1/train/fechas1_000358.wav,el miércoles (3) por favor
fechas1/train/fechas1_000359.wav,el miércoles (3) que viene
fechas1/train/fechas1_000360.wav,el próximo viernes (5)
fechas1/train/fechas1_000361.wav,este jueves (4) que viene
fechas1/train/fechas1_000362.wav,el jueves (4) que viene por favor
fechas1/train/fechas1_000363.wav,el siguiente viernes (5)
fechas1/train/fechas1_000364.wav,por favor en un par de días (+2)
fechas1/train/fechas1_000365.wav,este jueves (4) que viene
fechas1/train/fechas1_000366.wav,el martes (2)
fechas1/train/fechas1_000367.wav,el próximo jueves (4) gracias
fechas1/train/fechas1_000368.wav,el próximo martes (2)
fechas1/train/fechas1_000369.wav,el próximo martes (2)
fechas1/train/fechas1_000370.wav,el miércoles (3) próximo por favor
fechas1/train/fechas1_000371.wav,el lunes (1)
fechas1/train/fechas1_000372.wav,el viernes (5) que viene
fechas1/train/fechas1_000373.wav,el miércoles (3) gracias
fechas1/train/fechas1_000374.wav,en tres días (+3)
fechas1/train/fechas1_000375.wav,el miércoles (3) gracias
fechas1/train/fechas1_000376.wav,el siguiente jueves (4)
fechas1/train/fechas1_000377.wav,el próximo lunes (1)
fechas1/train/fechas1_000378.wav,el viernes (5)
fechas1/train/fechas1_000379.wav,este viernes (5) gracias
fechas1/train/fechas1_000380.wav,el próximo miércoles (3)
fechas1/train/fechas1_000381.wav,el próximo martes (2)
fechas1/train/fechas1_000382.wav,en un par de días (+2) gracias
fechas1/train/fechas1_000383.wav,el jueves (4)
fechas1/train/fechas1_000384.wav,por favor este viernes (5) próximo
fechas1/train/fechas1_000385.wav,el viernes (5) siguiente
fechas1/train/fechas1_000386.wav,el lunes (1) que viene
fechas1/train/fechas1_000387.wav,el martes (2) próximo gracias
fechas1/train/fechas1_000388.wav,el jueves (4) que viene gracias
fechas1/train/fechas1_000389.wav,en un par de días (+2)
fechas1/train/fechas1_000390.wav,el miércoles (3)
fechas1/train/fechas1_000391.wav,mañana (+1) gracias
fechas1/train/fechas1_000392.wav,en tres días (+3) gracias
fechas1/train/fechas1_000393.wav,en tres días (+3) gracias
fechas1/train/fechas1_000394.wav,por favor este jueves (4) que viene
fechas1/train/fechas1_000395.wav,el siguiente lunes (1) por favor
fechas1/train/fechas1_000396.wav,este jueves (4)
fechas1/train/fechas1_000397.wav,el viernes (5) siguiente
fechas1/train/fechas1_000398.wav,el jueves (4)
fechas1/train/fechas1_000399.wav,el lunes (1) que viene
fechas1/train/fechas1_000400.wav,el próximo lunes (1) gracias
fechas1/train/fechas1_000401.wav,en un par de días (+2) gracias
fechas1/train/fechas1_000402.wav,en un par de días (+2)
fechas1/train/fechas1_000403.wav,el siguiente martes (2)
fechas1/train/fechas1_000404.wav,el viernes (5) próximo por favor
fechas1/train/fechas1_000405.wav,por favor pasado mañana (+2)
fechas1/train/fechas1_000406.wav,por favor el próximo jueves (4)
fechas1/train/fechas1_000407.wav,por favor este miércoles (3) siguiente
fechas1/train/fechas1_000408.wav,por favor el siguiente miércoles (3)
fechas1/train/fechas1_000409.wav,el próximo lunes (1)
fechas1/train/fechas1_000410.wav,este lunes (1)
fechas1/train/fechas1_000411.wav,el próximo miércoles (3)
fechas1/train/fechas1_000412.wav,el martes (2) gracias
fechas1/train/fechas1_000413.wav,este martes (2) que viene
fechas1/train/fechas1_000414.wav,pasado mañana (+2)
fechas1/train/fechas1_000415.wav,este miércoles (3) próximo
fechas1/train/fechas1_000416.wav,este lunes (1) que viene
fechas1/train/fechas1_000417.wav,el siguiente viernes (5)
fechas1/train/fechas1_000418.wav,por favor en tres días (+3)
fechas1/train/fechas1_000419.wav,el próximo martes (2)
fechas1/train/fechas1_000420.wav,por favor el siguiente viernes (5)
fechas1/train/fechas1_000421.wav,el siguiente viernes (5) por favor
fechas1/train/fechas1_000422.wav,en tres días (+3)
fechas1/train/fechas1_000423.wav,este martes (2)
fechas1/train/fechas1_000424.wav,el lunes (1)
fechas1/train/fechas1_000425.wav,por favor el siguiente martes (2)
fechas1/train/fechas1_000426.wav,el jueves (4) siguiente por favor
fechas1/train/fechas1_000427.wav,por favor en un par de días (+2)
fechas1/train/fechas1_000428.wav,el siguiente viernes (5) gracias
fechas1/train/fechas1_000429.wav,el jueves (4)
fechas1/train/fechas1_000430.wav,el siguiente viernes (5)
fechas1/train/fechas1_000431.wav,por favor el lunes (1) próximo
fechas1/train/fechas1_000432.wav,el viernes (5) siguiente
fechas1/train/fechas1_000433.wav,el martes (2) que viene por favor
fechas1/train/fechas1_000434.wav,el siguiente martes (2)
fechas1/train/fechas1_000435.wav,el próximo viernes (5)
fechas1/train/fechas1_000436.wav,el siguiente viernes (5)
fechas1/train/fechas1_000437.wav,este jueves (4) próximo
fechas1/train/fechas1_000438.wav,el martes (2) que viene gracias
fechas1/train/fechas1_000439.wav,este lunes (1)
fechas1/train/fechas1_000440.wav,el martes (2) siguiente
fechas1/train/fechas1_000441.wav,el lunes (1) siguiente
fechas1/train/fechas1_000442.wav,este miércoles (3) que viene
fechas1/train/fechas1_000443.wav,el martes (2) que viene por favor
fechas1/train/fechas1_000444.wav,en tres días (+3) por favor
fechas1/train/fechas1_000445.wav,el miércoles (3) siguiente gracias
fechas1/train/fechas1_000446.wav,por favor el lunes (1) próximo
fechas1/train/fechas1_000447.wav,el siguiente miércoles (3)
fechas1/train/fechas1_000448.wav,este jueves (4) siguiente
fechas1/train/fechas1_000449.wav,el jueves (4) próximo
fechas1/train/fechas1_000450.wav,el miércoles (3) gracias
fechas1/train/fechas1_000451.wav,por favor el próximo miércoles (3)
fechas1/train/fechas1_000452.wav,el martes (2) que viene por favor
fechas1/train/fechas1_000453.wav,por favor el próximo lunes (1)
fechas1/train/fechas1_000454.wav,este martes (2) próximo
fechas1/train/fechas1_000455.wav,el próximo viernes (5) gracias
fechas1/train/fechas1_000456.wav,el próximo miércoles (3)
fechas1/train/fechas1_000457.wav,este martes (2)
fechas1/train/fechas1_000458.wav,este lunes (1) que viene
fechas1/train/fechas1_000459.wav,el jueves (4)
fechas1/train/fechas1_000460.wav,el próximo viernes (5)
fechas1/train/fechas1_000461.wav,por favor el siguiente martes (2)
fechas1/train/fechas1_000462.wav,en un par de días (+2)
fechas1/train/fechas1_000463.wav,este miércoles (3) siguiente
fechas1/train/fechas1_000464.wav,el próximo jueves (4)
fechas1/train/fechas1_000465.wav,el siguiente jueves (4)
fechas1/train/fechas1_000466.wav,el viernes (5)
fechas1/train/fechas1_000467.wav,el próximo miércoles (3) gracias
fechas1/train/fechas1_000468.wav,este viernes (5)
fechas1/train/fechas1_000469.wav,por favor el siguiente lunes (1)
fechas1/train/fechas1_000470.wav,en tres días (+3) por favor
fechas1/train/fechas1_000471.wav,por favor en tres días (+3)
fechas1/train/fechas1_000472.wav,mañana (+1) gracias
fechas1/train/fechas1_000473.wav,por favor el siguiente martes (2)
fechas1/train/fechas1_000474.wav,por favor el lunes (1) próximo
